# Stock data for GOOGL from 2021-06-20 to 2026-06-20
# Total records: 1255
# Data retrieved on: 2026-06-20 23:11:25

Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-14,99.11,99.81,95.52,95.71,25410700,0.0,0.0
2022-10-17,97.99,100.04,97.96,99.09,28419200,0.0,0.0
2022-10-18,102.22,102.56,99.09,99.88,24060700,0.0,0.0
2022-10-19,99.13,100.13,98.05,98.75,23811100,0.0,0.0
2022-10-20,99.12,101.42,98.52,99.09,25323200,0.0,0.0
2022-10-21,96.99,100.42,96.86,100.24,32458700,0.0,0.0
2022-10-24,100.91,101.85,99.1,101.62,27176400,0.0,0.0
2022-10-25,102.0,103.9,101.82,103.56,40611400,0.0,0.0
2022-10-26,95.58,97.45,93.86,94.1,88114100,0.0,0.0
2022-10-27,93.69,94.59,90.99,91.41,60710900,0.0,0.0
2022-10-28,91.46,95.7,91.32,95.44,43697300,0.0,0.0
2022-10-31,94.58,95.19,93.15,93.68,31675000,0.0,0.0
2022-11-01,94.61,95.19,89.58,89.67,47161400,0.0,0.0
2022-11-02,90.14,90.38,86.12,86.21,57038300,0.0,0.0
2022-11-03,85.56,85.76,82.61,82.7,61288000,0.0,0.0
2022-11-04,84.65,85.88,82.97,85.82,51124900,0.0,0.0
2022-11-07,86.51,88.12,86.09,87.71,34078900,0.0,0.0
2022-11-08,88.12,89.53,86.82,88.12,30429000,0.0,0.0
2022-11-09,87.67,88.65,86.51,86.55,31769100,0.0,0.0
2022-11-10,91.44,93.56,90.8,93.11,51620100,0.0,0.0
2022-11-11,93.86,96.08,93.09,95.56,33090500,0.0,0.0
2022-11-14,94.25,95.94,93.68,94.86,30179500,0.0,0.0
2022-11-15,97.4,99.26,95.86,97.57,41640800,0.0,0.0
2022-11-16,97.04,98.76,96.78,97.98,29105200,0.0,0.0
2022-11-17,96.12,98.41,95.94,97.5,26052600,0.0,0.0
2022-11-18,97.9,98.03,95.52,96.57,28342300,0.0,0.0
2022-11-21,96.43,97.54,94.52,94.76,21647400,0.0,0.0
2022-11-22,95.11,96.37,93.22,96.2,23438500,0.0,0.0
2022-11-23,96.24,97.89,96.24,97.59,18868100,0.0,0.0
2022-11-25,97.38,97.77,96.54,96.6,9701400,0.0,0.0
2022-11-28,96.19,96.72,94.77,95.21,26237500,0.0,0.0
2022-11-29,94.89,95.28,93.28,94.35,20061700,0.0,0.0
2022-11-30,93.99,100.15,93.59,100.1,43647500,0.0,0.0
2022-12-01,100.13,101.35,99.37,100.1,28687100,0.0,0.0
2022-12-02,98.18,99.88,98.03,99.56,21480700,0.0,0.0
2022-12-05,98.53,100.49,98.13,98.61,24405100,0.0,0.0
2022-12-06,98.43,98.9,95.57,96.13,24910700,0.0,0.0
2022-12-07,95.56,96.03,93.89,94.11,31045400,0.0,0.0
2022-12-08,94.54,94.74,92.63,92.89,32213300,0.0,0.0
2022-12-09,92.95,93.43,91.93,92.01,28225400,0.0,0.0
2022-12-12,91.9,92.74,90.8,92.49,29420000,0.0,0.0
2022-12-13,96.9,98.66,94.19,94.79,40593700,0.0,0.0
2022-12-14,94.36,96.02,92.78,94.23,28733600,0.0,0.0
2022-12-15,92.31,92.82,89.22,90.06,40107000,0.0,0.0
2022-12-16,89.96,90.53,88.73,89.47,58011800,0.0,0.0
2022-12-19,89.47,89.76,87.43,87.66,29493000,0.0,0.0
2022-12-20,87.34,88.4,86.67,88.24,23453800,0.0,0.0
2022-12-21,88.3,89.43,87.54,88.79,24745600,0.0,0.0
2022-12-22,87.39,87.76,85.56,86.99,27658300,0.0,0.0
2022-12-23,86.34,88.76,86.3,88.45,23003000,0.0,0.0
2022-12-27,88.02,88.16,86.25,86.62,20097300,0.0,0.0
2022-12-28,86.22,87.27,85.18,85.26,19523200,0.0,0.0
2022-12-29,85.86,88.07,85.85,87.67,23333500,0.0,0.0
2022-12-30,86.22,87.52,85.81,87.45,23986300,0.0,0.0
2023-01-03,88.8,90.25,87.74,88.34,28131200,0.0,0.0
2023-01-04,89.56,89.85,86.5,87.31,34854800,0.0,0.0
2023-01-05,86.7,86.8,85.15,85.44,27194400,0.0,0.0
2023-01-06,86.03,86.92,84.11,86.57,41381500,0.0,0.0
2023-01-09,87.58,89.26,87.09,87.25,29003900,0.0,0.0
2023-01-10,85.22,87.89,85.08,87.64,30467800,0.0,0.0
2023-01-11,88.4,90.79,88.23,90.72,26862000,0.0,0.0
2023-01-12,90.68,91.06,88.96,90.33,30258100,0.0,0.0
2023-01-13,90.05,91.38,89.34,91.31,26329200,0.0,0.0
2023-01-17,91.25,91.44,89.26,90.49,32602400,0.0,0.0
2023-01-18,91.33,91.98,89.84,90.32,29116700,0.0,0.0
2023-01-19,89.92,92.79,89.83,92.23,37000400,0.0,0.0
2023-01-20,94.26,97.44,94.18,97.16,63191100,0.0,0.0
2023-01-23,97.09,99.16,96.64,98.91,40005100,0.0,0.0
2023-01-24,97.24,98.73,96.35,96.84,33078500,0.0,0.0
2023-01-25,94.73,95.31,92.94,94.38,42330000,0.0,0.0
2023-01-26,95.65,96.71,94.54,96.66,30114000,0.0,0.0
2023-01-27,96.45,99.44,96.45,98.5,33879800,0.0,0.0
2023-01-30,96.62,97.43,95.55,96.09,27226200,0.0,0.0
2023-01-31,96.02,98.01,95.97,97.97,29870700,0.0,0.0
2023-02-01,97.84,100.3,96.72,99.55,35531100,0.0,0.0
2023-02-02,104.87,106.9,104.68,106.79,69883800,0.0,0.0
2023-02-03,102.03,106.86,101.68,103.86,65309300,0.0,0.0
2023-02-06,101.5,103.44,100.98,102.0,31999600,0.0,0.0
2023-02-07,102.31,107.23,102.21,106.69,49010200,0.0,0.0
2023-02-08,101.15,102.23,97.18,98.5,94743500,0.0,0.0
2023-02-09,99.12,99.15,92.81,94.17,119455000,0.0,0.0
2023-02-10,94.61,95.9,93.42,93.74,54980700,0.0,0.0
2023-02-13,93.91,94.36,93.02,93.78,50076100,0.0,0.0
2023-02-14,93.6,94.02,91.45,93.85,54726100,0.0,0.0
2023-02-15,93.66,96.27,93.32,96.09,50169000,0.0,0.0
2023-02-16,94.53,96.82,93.91,94.67,42462600,0.0,0.0
2023-02-17,94.02,94.72,92.39,93.52,34284100,0.0,0.0
2023-02-21,92.18,92.28,90.91,90.98,33629300,0.0,0.0
2023-02-22,90.89,91.3,89.81,90.84,30884000,0.0,0.0
2023-02-23,91.11,91.13,88.97,90.09,41206400,0.0,0.0
2023-02-24,88.65,89.1,87.8,88.35,36585100,0.0,0.0
2023-02-27,89.08,89.37,88.55,89.08,27502300,0.0,0.0
2023-02-28,88.54,90.43,88.53,89.27,30142000,0.0,0.0
2023-03-01,89.19,90.23,88.88,89.57,31111200,0.0,0.0
2023-03-02,88.87,91.47,88.8,91.19,32204400,0.0,0.0
2023-03-03,91.67,92.91,91.64,92.83,35160100,0.0,0.0
2023-03-06,93.19,95.13,93.17,94.29,32639300,0.0,0.0
2023-03-07,94.15,94.83,92.71,93.04,27835500,0.0,0.0
2023-03-08,93.29,95.12,93.17,93.42,34103300,0.0,0.0
2023-03-09,93.22,94.69,91.09,91.51,28813500,0.0,0.0
2023-03-10,91.36,91.97,89.61,89.83,35941000,0.0,0.0
2023-03-13,89.3,91.76,88.63,90.31,37335600,0.0,0.0
2023-03-14,91.75,93.53,91.63,93.14,36050200,0.0,0.0
2023-03-15,92.4,96.08,91.83,95.27,50622100,0.0,0.0
2023-03-16,95.35,100.3,94.66,99.44,65492000,0.0,0.0
2023-03-17,99.38,101.94,99.22,100.73,61028500,0.0,0.0
2023-03-20,99.24,100.86,98.99,100.33,32960400,0.0,0.0
2023-03-21,100.36,104.18,100.33,104.0,42110300,0.0,0.0
2023-03-22,103.35,105.65,102.42,102.46,43427400,0.0,0.0
2023-03-23,104.14,105.37,103.54,104.67,40797800,0.0,0.0
2023-03-24,104.07,104.56,102.93,104.51,30393300,0.0,0.0
2023-03-27,103.7,103.84,101.03,101.56,31120900,0.0,0.0
2023-03-28,101.54,101.55,98.86,100.14,32057900,0.0,0.0
2023-03-29,101.38,101.59,99.77,100.5,28779600,0.0,0.0
2023-03-30,100.02,100.27,98.9,100.0,33086200,0.0,0.0
2023-03-31,100.41,102.98,100.15,102.82,36863400,0.0,0.0
2023-04-03,101.49,103.61,101.03,103.44,25035400,0.0,0.0
2023-04-04,103.41,104.65,103.13,103.8,24420100,0.0,0.0
2023-04-05,104.85,105.17,102.75,103.55,28290500,0.0,0.0
2023-04-06,104.33,108.21,103.41,107.47,48711500,0.0,0.0
2023-04-10,106.04,106.64,104.2,105.5,27067400,0.0,0.0
2023-04-11,105.61,105.79,103.76,104.42,26311800,0.0,0.0
2023-04-12,105.64,105.81,103.42,103.72,24370300,0.0,0.0
2023-04-13,104.91,106.55,104.91,106.49,24843600,0.0,0.0
2023-04-14,105.95,107.98,105.9,107.91,26578000,0.0,0.0
2023-04-17,103.74,105.23,103.6,105.04,37571200,0.0,0.0
2023-04-18,105.55,105.6,103.16,103.58,26596400,0.0,0.0
2023-04-19,102.67,104.06,102.16,103.26,20905700,0.0,0.0
2023-04-20,103.0,105.32,102.96,104.36,27820800,0.0,0.0
2023-04-21,104.54,105.07,103.86,104.48,25800100,0.0,0.0
2023-04-24,104.56,105.69,103.78,105.04,23542800,0.0,0.0
2023-04-25,104.9,105.75,102.93,102.94,46664100,0.0,0.0
2023-04-26,104.0,105.42,101.73,102.8,53347600,0.0,0.0
2023-04-27,103.53,107.42,102.63,106.64,50089200,0.0,0.0
2023-04-28,106.1,106.41,104.17,106.4,36139800,0.0,0.0
2023-05-01,105.9,107.04,105.88,106.26,26681700,0.0,0.0
2023-05-02,106.2,106.26,102.8,104.39,30997200,0.0,0.0
2023-05-03,104.6,106.55,104.04,104.48,21795400,0.0,0.0
2023-05-04,104.56,104.67,103.06,103.77,23419500,0.0,0.0
2023-05-05,103.9,104.95,103.19,104.64,26639300,0.0,0.0
2023-05-08,104.26,107.01,104.24,106.82,26511400,0.0,0.0
2023-05-09,107.44,109.18,106.25,106.41,36360100,0.0,0.0
2023-05-10,107.02,111.95,106.98,110.77,63153400,0.0,0.0
2023-05-11,114.39,116.88,113.4,115.55,78900000,0.0,0.0
2023-05-12,115.65,116.99,115.09,116.48,41102300,0.0,0.0
2023-05-15,115.09,117.44,114.99,115.49,36266800,0.0,0.0
2023-05-16,115.47,119.69,115.41,118.46,45035600,0.0,0.0
2023-05-17,118.56,120.6,117.85,119.78,33323600,0.0,0.0
2023-05-18,119.89,122.23,119.77,121.75,35234200,0.0,0.0
2023-05-19,122.46,124.86,121.08,121.68,41353400,0.0,0.0
2023-05-22,121.86,125.32,121.66,123.95,35253000,0.0,0.0
2023-05-23,123.07,123.53,121.14,121.48,34046300,0.0,0.0
2023-05-24,120.06,120.84,118.81,119.84,34182600,0.0,0.0
2023-05-25,123.43,124.22,120.89,122.39,42317000,0.0,0.0
2023-05-26,122.09,124.16,121.37,123.51,35635900,0.0,0.0
2023-05-30,124.54,124.56,120.93,122.58,35076700,0.0,0.0
2023-05-31,121.67,122.97,121.42,121.79,37325800,0.0,0.0
2023-06-01,121.74,123.33,121.54,122.63,30772700,0.0,0.0
2023-06-02,122.9,125.04,122.67,123.57,26980100,0.0,0.0
2023-06-05,122.92,126.31,122.75,124.9,32305500,0.0,0.0
2023-06-06,124.9,127.16,124.26,126.19,26638300,0.0,0.0
2023-06-07,125.85,127.91,121.05,121.42,52539000,0.0,0.0
2023-06-08,121.16,122.15,120.17,121.07,29389200,0.0,0.0
2023-06-09,121.18,122.67,120.84,121.16,23778300,0.0,0.0
2023-06-12,121.71,122.96,120.59,122.55,28306400,0.0,0.0
2023-06-13,123.88,124.06,122.1,122.74,22278300,0.0,0.0
2023-06-14,122.02,122.96,120.38,122.58,30592300,0.0,0.0
2023-06-15,122.06,124.36,121.32,123.99,35246300,0.0,0.0
2023-06-16,124.82,125.0,122.2,122.44,45535600,0.0,0.0
2023-06-20,121.85,123.48,121.07,122.02,26097500,0.0,0.0
